Company,URL,Score,Latitude,Longtitude
180 Medical,/company/180-medical,4.3,35.568356,-97.666052
2020 Companies,/company/2020-companies,3.9,33.032374,-97.280373
2-1-1 Maine,/company/2-1-1-maine,2,43.637538,-70.303479
22squared,/company/22squared,2.9,33.786332,-84.383659
23andMe,/company/23andme,4.6,37.3952,-122.079138
24-7 Intouch,/company/24-7-intouch,1.9,49.850037,-97.185337
2k Games,/company/2k-games,3.9,38.059889,-122.515897
2nd Watch,/company/2ndwatch,1,47.614043,-122.337088
2U,/company/2u,3.9,38.946059,-76.864724
3M,/company/3m,2.8,33.692717,-117.843156
4Life Research,/company/4life-research,2.4,40.572672,-111.901806
5.11 Tactical,/company/511-tactical,4.6,37.701304,-121.000688
525 america,/company/525-america,1.9,40.753534,-73.988381
72andsunny,/company/72andsunny,2.8,33.979926,-118.404484
7-Eleven,/company/7-eleven,1.9,32.792082,-96.795106
SJ Magazine,/company/sj-magazine,3.1,39.946367,-74.970131
97th Floor,/company/97th-floor,3.4,40.42783,-111.891781
99 Cents Only Stores,/company/99-cents-only-stores,2.1,34.015014,-118.188839
A1 Sprinkler & Systems Integration,/company/a1-sprinkler-systems-integration,1,39.637684,-84.24116
AAA Carolinas,/company/aaa-carolinas,3.4,35.203551,-80.733171
AAA Life Insurance Company,/company/aaa-insurance,3,42.414932,-83.417582
AAA Northeast,/company/aaa-northeast,3,41.853274,-71.411572
AAAS,/company/aaas,1.7,38.900243,-77.028454
AARP,/company/aarp,4.6,38.89655,-77.02076
AASLD,/company/aasld,2.9,38.814928,-77.039749
AB (AllianceBernstein),/company/alliance-bernstein,1.7,40.762987,-73.978703
Abbott,/company/abbott,4.2,42.302037,-87.891466
AbbVie,/company/abbvie,2,42.30213,-87.891492
ABC Depot Logistics,/company/abc,2.7,34.000283,-117.914313
ABC News,/company/abc-news,2,40.773179,-73.979951
AbelsonTaylor,/company/abelsontaylor,3.8,41.880437,-87.62879
Abengoa Solar,/company/abengoa-solar,2.1,33.481684,-112.073174
Abercrombie & Fitch,/company/abercrombie-fitch,2.7,40.084821,-82.782076
Abilities Network,/company/abilities-network,2.3,39.39371,-76.57692
ABM Industries,/company/abm-industries,4.6,40.755447,-73.978892
Abt Associates,/company/abt-associates,3.7,42.391195,-71.144622
Department of Defense Education Activity (DoDEA),/company/department-of-defense-education-activity-dodea,1.3,38.83034,-77.117078
GEIGO,/company/geico,2.4,38.961273,-77.090729
Capital One,/company/capital-one,3.4,38.92463,-77.212912
Google,/company/google,3.9,37.4224764,-122.0842499
Facebook,/company/facebook,4,37.4841002,-122.1482519
Apple,/company/apple,3.1,37.331741,-122.030332
